id,datoid,band,long,lat,read,map,map_rescaled
40180,4958,8A,2.334632066208694,38.6018069338717,8.88,1326.5,0.13265
40181,4242,08,2.2897158636248593,38.7070357749805,6.33,1308.5,0.13085
40182,5124,04,2.469382424776687,38.28519787963183,0.82,1317,0.1317
40183,8870,08,2.17157927041656,37.29813577979838,5.63,1308.5,0.13085
40184,4604,03,1.7544717426231826,38.95974149733056,4.06,1402,0.1402
40185,13399,07,4.760148429748465,38.32043452654664,13.51,1298,0.1298
40186,4272,07,2.559214442770469,38.60180652669192,2.63,1298,0.1298
40187,7417,8A,4.266046531616862,39.36987640843684,2.77,1326.5,0.13265
40188,8406,08,2.009411111261714,37.58791861730295,2.52,1308.5,0.13085
40189,11255,03,3.3231460390614083,37.89636618440173,0.44,1402,0.1402
40190,8682,11,2.091400379582653,37.47708707696819,2.78,1291,0.1291
40191,8224,04,3.4123748886475602,38.81228378242473,2.36,1317,0.1317
40192,4756,12,2.1674023900096646,38.621337209379796,1.17,1301.5,0.13015
40193,8227,07,3.098209671480458,38.77710337352604,3.7,1298,0.1298
40194,11192,07,3.4127157489922273,38.00256503057269,0.41,1298,0.1298
40195,8169,06,3.5024580333739634,38.636901303549,0.84,1296,0.1296
40196,8086,06,3.502461796416689,39.12640097136268,1.83,1296,0.1296
40197,6043,07,3.356647743690346,37.27265555098591,0.08,1298,0.1298
40198,5011,11,2.077939343340736,38.365241653338906,3.6,1291,0.1291
40199,5708,07,2.918543666385791,37.78993713083219,0.43,1298,0.1298
40200,7562,06,4.355868724736382,39.021784647710135,4.31,1296,0.1296
40201,8262,02,3.008377213312187,38.67197836588268,1.26,1600,0.16
40202,7589,03,4.580699159385768,38.987052353695454,30.42,1402,0.1402
40203,8889,02,1.7557378695071235,37.77954103335914,4.43,1600,0.16
40204,11194,12,3.5021439805540044,38.00225374256643,1.35,1301.5,0.13015
40205,8687,8A,1.772985549911677,37.457861482560524,2.02,1326.5,0.13265
40206,4896,12,2.234847424535942,38.603307691599355,0.57,1301.5,0.13015
40207,8130,06,3.2778794494993178,38.986887852826946,0.81,1296,0.1296
40208,7920,02,4.131280805569304,38.39087804747605,0.24,1600,0.16
40209,4230,8A,2.963461955756031,38.35567520214496,1.76,1326.5,0.13265
40210,7771,11,4.310947191549651,38.63689336742687,3.69,1291,0.1291
40211,8405,08,1.9645863814283153,37.590353879613836,1.54,1308.5,0.13085
40212,7655,8A,3.9516208389499776,38.84709402372333,4.07,1326.5,0.13265
40213,4227,06,2.828480291782161,38.35570411920686,1.29,1296,0.1296
40214,11444,06,3.426190236607209,37.524017155689656,1.94,1296,0.1296
40215,4632,12,3.59228592450733,38.17935237190209,4.14,1301.5,0.13015
40216,13246,12,5.0451268874644875,38.290680040272846,0.96,1301.5,0.13015
40217,5911,08,3.3676973540616717,37.29133220196387,0.2,1308.5,0.13085
40218,3998,8A,2.693967062398032,39.12640506200835,6.96,1326.5,0.13265
40219,5236,02,2.6939634628486884,37.860894452517016,0.42,1600,0.16
40220,7762,07,3.906703358063494,38.6368973389965,2.96,1298,0.1298
40221,8314,05,3.5922916135380243,38.53156926329696,1.21,1327.5,0.13275
40222,3899,06,2.604359819956328,39.16152023812327,2.06,1296,0.1296
40223,13179,07,5.07472611825974,38.53160631071966,8.56,1298,0.1298
40224,8916,03,1.659663385840457,37.71388136722166,2.46,1402,0.1402
40225,5029,07,2.0714269150603526,38.294856512343635,7.82,1298,0.1298
40226,5730,12,2.918542565949568,37.68337396432027,1.24,1301.5,0.13015
40227,8504,11,2.289836859507108,37.576656768263796,3.51,1291,0.1291
40228,13417,04,4.445741475040092,38.28518745795127,16.32,1317,0.1317
40229,3967,04,2.8305199363976903,38.98984388750392,1.47,1317,0.1317
40230,8538,07,2.559214735621252,37.82542445123419,4.46,1298,0.1298
40231,7992,06,3.931024772765505,38.138437423799914,2.25,1296,0.1296
40232,8289,12,3.3012127964405438,39.2587976635498,8.89,1301.5,0.13015
40233,4043,06,3.008376624915676,38.812110448516336,0.73,1296,0.1296
40234,5785,02,2.8736253060486443,37.505428032912526,3.06,1600,0.16
40235,7766,05,4.086044077803889,38.637070487991195,3.16,1327.5,0.13275
40236,5008,04,1.9432266358612467,38.372543235627504,4.52,1317,0.1317
40237,13432,8A,5.119470655487724,38.28518740154163,8.46,1326.5,0.13265
40238,8576,8A,2.334634636288722,37.718911718220035,3.55,1326.5,0.13265
40239,8071,03,3.4126303030390326,39.1612375178022,4.88,1402,0.1402
40240,13467,03,4.355910932080007,38.03797872446467,3.95,1402,0.1402
40241,8341,07,3.2778799157249505,38.46126389446222,0.53,1298,0.1298
40242,11386,11,3.636038051518445,37.613119288544056,1.17,1291,0.1291
40243,13576,04,4.8059170455020315,37.932243339080095,5.12,1317,0.1317
40244,5161,06,2.738879083324219,38.17935194821366,3.02,1296,0.1296
40245,7717,04,4.310876887598885,38.74187335795759,4,1317,0.1317
